id,source_section,acceptance_metric,evidence,test_file_or_doc,command,run_class,backend_coverage,precision_coverage,lattice_dimension,validation_type,current_status,notes
T1,VALIDATION.md T1,"TGV L2rel <= 1.5e-3; order >= 1.7; nu_eff +/-2%; rotation symmetry",executable test,crates/lbm-core/tests/validation_tgv.rs,cargo test --release -p lbm-core --test validation_tgv,default,CPU compat,f64,D2Q9 2D,analytic convergence,VALIDATED,Not rerun in this session
T2,VALIDATION.md T2,"TRT half-way Poiseuille exactness; BGK order; symmetry; rotated profile",executable test,crates/lbm-core/tests/validation_channel.rs,cargo test --release -p lbm-core --test validation_channel t2,default,CPU compat,f64,D2Q9 2D,analytic wall validation,VALIDATED,Not rerun in this session
T3,VALIDATION.md T3,"Couette exactness for BGK/TRT/tau set; alternate orientations; mass drift",executable test,crates/lbm-core/tests/validation_channel.rs,cargo test --release -p lbm-core --test validation_channel t3,default,CPU compat,f64,D2Q9 2D,analytic moving-wall validation,VALIDATED,Not rerun in this session
T4,VALIDATION.md T4,"Bulk flux constancy; center profile; mass drift; four orientations",executable test,crates/lbm-core/tests/validation_open_bc.rs,cargo test --release -p lbm-core --test validation_open_bc t4,default,CPU compat,f64,D2Q9 2D,open-boundary physical validation,VALIDATED,QA notes warn the profile band is parameter-specific
T5,VALIDATION.md T5,"Pressure-pressure flow rate +/-2%; pressure linearity; mirror/sign symmetries",executable test,crates/lbm-core/tests/validation_open_bc.rs,cargo test --release -p lbm-core --test validation_open_bc t5,default,CPU compat,f64,D2Q9 2D,open-boundary physical validation,VALIDATED,Not rerun in this session
T6-f64,VALIDATION.md T6,"Mass conservation; forced momentum growth; feq moments",executable test,crates/lbm-core/tests/validation_conservation.rs,cargo test --release -p lbm-core --test validation_conservation,default,CPU compat,f64,D2Q9 2D,conservation and moment identity,VALIDATED,Not rerun in this session
T6-f32,VALIDATION.md T6,"f32 mass and momentum drift after deviation storage",executable test,crates/lbm-core/tests/validation_conservation.rs,cargo test --release -p lbm-core --test validation_conservation t6_f32,default,CPU compat,f32,D2Q9 2D,precision conservation,VALIDATED,Not rerun in this session
T7,VALIDATION.md T7,"Ghia Re=100/400 default RMS/vortex; Re=1000 ignored; four lid orientations",executable test,crates/lbm-core/tests/validation_cavity.rs,"cargo test --release -p lbm-core --test validation_cavity; cargo test --release -- --include-ignored",default plus ignored,CPU compat,f64,D2Q9 2D,literature benchmark,VALIDATED,Re1000 is ignored/heavy
T8-2D-1,VALIDATION.md T8,"Schaefer-Turek Re=20 Cd/Cl; D=40 convergence ignored",executable test,crates/lbm-core/tests/validation_cylinder.rs,cargo test --release -p lbm-core --test validation_cylinder t8_2d1,default plus ignored,CPU compat,f64,D2Q9 2D,literature benchmark force,VALIDATED,Not rerun in this session
T8-2D-2,VALIDATION.md T8,"Re=100 shedding St/Cd/Cl/periodicity",ignored executable test,crates/lbm-core/tests/validation_cylinder.rs,cargo test --release -p lbm-core --test validation_cylinder t8_2d2 -- --ignored,ignored,CPU compat,f64,D2Q9 2D,unsteady literature benchmark,BENCH-PENDING,Heavy ignored gate not run here
